1 SEDAN TYPE SALES JAN JUL 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,CATEGORY
SEDAN TYPE,CC < 1.500 [G/D],HONDA,All New City,1.497,CVT,G,40,-,-,16 x 6J,120,2.6,4442 x 1694 x 1477,5,4X2,FF,-,4,4,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
SEDAN TYPE,CC < 1.500 [G/D],HONDA,All New Civic,1.5,CVT,G,57,1.285,-,-,141,2.7,4542 x 1755 x 1435,5,4X2,FF,-,4,4,CBU,Thailand,-,3,-,-,-,-,-,-,-,-,-,-,0%,0%,3
SEDAN TYPE,CC < 1.500 [G/D],HONDA,New Civic,1.5,CVT,HYBRID,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Thailand,-,-,-,-,30,36,42,-,-,-,-,-,7%,4%,108
SEDAN TYPE,CC < 1.500 [G/D],AION,AION ES,-,AT,BEV,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,China,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
SEDAN TYPE,CC < 1.500 [G/D],BMW,i7 xDrive60 Limousine RHD AT,0,AT,BEV,-,3.25,-,255/45 R20 105Y; 285/40 R20 108Y,544,3.215,5181 x 2000 x 1835,-,4X4,4WD,-,-,4,CBU,Germany,-,3,6,3,2,4,-,-,-,-,-,-,1%,1%,18
SEDAN TYPE,CC < 1.500 [G/D],BMW,CBU i4 eDrive35 Gran Coupe AT,-,AT,BEV,-,2.545,-,245/40 R19 98Y; 255/40 R19 100Y,286,2.856,4.783 x 1.882 x 1.448,5,4X2,RR,-,5,4,CBU,Germany,-,2,1,2,-,-,2,-,-,-,-,-,0%,0%,7
SEDAN TYPE,CC < 1.500 [G/D],BMW,218 AT,1.499,AT,G,49,1.42,-,-,156,2.67,4546 x 1800 x 1445,5,4X2,FF,-,4,4,CBU,Germany,-,-,-,-,-,13,4,-,-,-,-,-,1%,1%,17
SEDAN TYPE,CC < 1.500 [G/D],BYD,Seal Dynamic,-,-,BEV,-,2,-,"18""Alloy 225/50 R18",-,2.92,4800X1875X1460,5,4X2,FF,-,5,4,CBU,China,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
SEDAN TYPE,CC < 1.500 [G/D],BYD,Seal Premium Extended Range,-,-,BEV,-,2,-,"19""Alloy 235/45 R19",-,2.92,4800X1875X1460,5,4X2,FF,-,5,4,CBU,China,243,21,134,123,46,1,67,-,-,-,-,-,41%,26%,635
SEDAN TYPE,CC < 1.500 [G/D],BYD,Seal Performance,-,-,BEV,-,2,-,"19""Alloy 235/45 R19",-,2.92,4800X1875X1460,5,4X4,AWD,-,5,4,CBU,China,42,5,100,60,157,-,-,-,-,-,-,-,23%,15%,364
SEDAN TYPE,CC < 1.500 [G/D],HYUNDAI HMID,Ioniq 6,-,AT,BEV,-,1.97,-,205/60/R16,-,2.7,4470 x 1820 x 1475,5,4X2,-,-,5,4,CBU,South Korea,4,56,131,-,-,-,-,-,-,-,-,-,12%,8%,191
SEDAN TYPE,CC < 1.500 [G/D],HYUNDAI HMID,Genesis G80 EV,-,AT,BEV,-,2.265,-,245/45/R19,-,3.01,5005 x 1925 x 1475,5,4X2,-,-,5,4,CBU,South Korea,-,-,-,-,-,2,-,-,-,-,-,-,0%,0%,2
SEDAN TYPE,CC < 1.500 [G/D],MERCEDES BENZ PC,A 200 Sedan (V177),1.332,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
